name,frame_index,png_file,source_width,source_height,target_x,target_y,target_width,target_height,bounding_width,bounding_height
spr_actbt_center_es,0,spr_actbt_center_es_0.png,110,42,0,0,110,42,110,42
spr_actbt_center_es,1,spr_actbt_center_es_1.png,110,42,0,0,110,42,110,42
spr_actbt_center_hole_es,0,spr_actbt_center_hole_es_0.png,112,44,0,0,112,44,112,44
spr_actbt_center_hole_es,1,spr_actbt_center_hole_es_1.png,112,44,0,0,112,44,112,44
spr_barkbullet_es,0,spr_barkbullet_es_0.png,60,40,0,0,60,40,60,40
spr_bulletNapstaSad_es,0,spr_bulletNapstaSad_es_0.png,196,83,0,0,196,83,196,83
spr_defusebox_es,0,spr_defusebox_es_0.png,40,30,0,0,40,30,40,30
spr_fightbt_es,0,spr_fightbt_es_0.png,110,42,0,0,110,42,110,42
spr_fightbt_es,1,spr_fightbt_es_1.png,110,42,0,0,110,42,110,42
spr_fightbt_center_es,0,spr_fightbt_center_es_0.png,110,42,0,0,110,42,110,42
spr_fightbt_center_es,1,spr_fightbt_center_es_1.png,110,42,0,0,110,42,110,42
spr_fightbt_hollow_es,0,spr_fightbt_hollow_es_0.png,110,42,0,0,110,42,110,42
spr_fightbt_hollow_es,1,spr_fightbt_hollow_es_1.png,110,42,0,0,110,42,110,42
spr_itembt_es,0,spr_itembt_es_0.png,110,42,0,0,110,42,110,42
spr_itembt_es,1,spr_itembt_es_1.png,110,42,0,0,110,42,110,42
spr_itembt_hollow_es,0,spr_itembt_hollow_es_0.png,110,42,0,0,110,42,110,42
spr_itembt_hollow_es,1,spr_itembt_hollow_es_1.png,110,42,0,0,110,42,110,42
spr_killervisage_es,0,spr_killervisage_es_0.png,243,64,0,0,243,64,243,64
spr_librarysign_es,0,spr_librarysign_es_0.png,65,29,0,0,65,29,65,29
spr_mercybutton_normal_es,0,spr_mercybutton_normal_es_0.png,110,42,0,0,110,42,110,42
spr_mercybutton_shatter_es,0,spr_mercybutton_shatter_es_0.png,110,42,0,0,110,42,110,42
spr_mercybutton_shatter_es,1,spr_mercybutton_shatter_es_1.png,110,42,0,0,110,42,110,42
spr_mercybutton_shatter_es,2,spr_mercybutton_shatter_es_2.png,110,42,0,0,110,42,110,42
spr_mercybutton_shatter_es,3,spr_mercybutton_shatter_es_3.png,110,42,0,0,110,42,110,42
spr_mercybutton_shatter_es,4,spr_mercybutton_shatter_es_4.png,110,42,0,0,110,42,110,42
spr_mercybutton_shatter_es,5,spr_mercybutton_shatter_es_5.png,110,42,0,0,110,42,110,42
spr_mercybutton_shatter_es,6,spr_mercybutton_shatter_es_6.png,110,42,0,0,110,42,110,42
spr_mercybutton_shatter_es,7,spr_mercybutton_shatter_es_7.png,110,42,0,0,110,42,110,42
spr_mercybutton_shatter_es,8,spr_mercybutton_shatter_es_8.png,110,42,0,0,110,42,110,42
spr_mercybutton_shatter_es,9,spr_mercybutton_shatter_es_9.png,110,42,0,0,110,42,110,42
spr_mercybutton_shatter_es,10,spr_mercybutton_shatter_es_10.png,110,42,0,0,110,42,110,42
spr_mettatonb_behind_es,0,spr_mettatonb_behind_es_0.png,108,92,0,0,108,92,108,92
spr_mettatonb_behind_on_es,0,spr_mettatonb_behind_on_es_0.png,108,92,0,0,108,92,108,92
spr_punchcard_es,0,spr_punchcard_es_0.png,320,240,0,0,320,240,320,240
spr_pxquit_es,0,spr_pxquit_es_0.png,58,19,0,0,58,19,58,19
spr_pxquit_es,1,spr_pxquit_es_1.png,58,19,0,0,58,19,58,19
spr_savebt_es,0,spr_savebt_es_0.png,110,42,0,0,110,42,110,42
spr_savebt_es,1,spr_savebt_es_1.png,110,42,0,0,110,42,110,42
spr_sparebt_es,0,spr_sparebt_es_0.png,110,42,0,0,110,42,110,42
spr_sparebt_es,1,spr_sparebt_es_1.png,110,42,0,0,110,42,110,42
spr_sparebt_bandage_es,0,spr_sparebt_bandage_es_0.png,110,42,0,0,110,42,110,42
spr_sparebt_bandage_es,1,spr_sparebt_bandage_es_1.png,110,42,0,0,110,42,110,42
spr_starcheckeredit_es,0,spr_starcheckeredit_es_0.png,320,240,0,0,320,240,320,240
spr_talkbt_es,0,spr_talkbt_es_0.png,110,42,0,0,110,42,110,42
spr_talkbt_es,1,spr_talkbt_es_1.png,110,42,0,0,110,42,110,42
spr_talkbt_hollow_es,0,spr_talkbt_hollow_es_0.png,110,42,0,0,110,42,110,42
spr_talkbt_hollow_es,1,spr_talkbt_hollow_es_1.png,110,42,0,0,110,42,110,42
spr_wordsearch_es,0,spr_wordsearch_es_0.png,280,200,0,0,280,200,280,200
spr_wordsearch_es,1,spr_wordsearch_es_1.png,280,200,0,0,280,200,280,200
spr_coresign_es,0,spr_coresign_es_0.png,80,40,0,0,80,40,80,40
spr_coresign_es,1,spr_coresign_es_1.png,80,40,0,0,80,40,80,40
spr_coresign_es,2,spr_coresign_es_2.png,80,40,0,0,80,40,80,40
spr_coresign_es,3,spr_coresign_es_3.png,80,40,0,0,80,40,80,40
