name,width,height,origin_x,origin_y,margin_left,margin_right,margin_top,margin_bottom,bbox_mode,frame_count
spr_actbt_center_es,110,42,55,21,0,109,0,41,2,2
spr_actbt_center_hole_es,112,44,56,22,0,111,0,43,2,2
spr_barkbullet_es,60,40,0,0,0,59,0,39,2,1
spr_bulletNapstaSad_es,196,83,0,0,0,195,0,82,0,1
spr_defusebox_es,40,30,20,15,0,39,0,29,2,1
spr_fightbt_es,110,42,0,0,0,109,0,41,0,2
spr_fightbt_center_es,110,42,55,21,0,109,0,41,2,2
spr_fightbt_hollow_es,110,42,0,0,0,109,0,41,0,2
spr_itembt_es,110,42,0,0,0,109,0,41,0,2
spr_itembt_hollow_es,110,42,0,0,0,109,0,41,0,2
spr_killervisage_es,243,64,0,0,0,242,0,63,0,1
spr_librarysign_es,65,29,0,0,0,64,0,28,0,1
spr_mercybutton_normal_es,110,42,0,0,0,109,0,41,0,1
spr_mercybutton_shatter_es,110,42,55,21,0,109,0,41,0,11
spr_mettatonb_behind_es,108,92,52,66,0,107,0,91,2,1
spr_mettatonb_behind_on_es,108,92,52,66,0,107,0,91,2,1
spr_punchcard_es,320,240,0,0,0,319,0,239,0,1
spr_pxquit_es,58,19,0,0,0,57,0,18,0,2
spr_savebt_es,110,42,0,0,0,109,0,41,0,2
spr_sparebt_es,110,42,0,0,0,109,0,41,2,2
spr_sparebt_bandage_es,110,42,0,0,0,109,0,41,2,2
spr_starcheckeredit_es,320,240,0,0,120,200,85,155,2,1
spr_talkbt_es,110,42,0,0,0,109,0,41,0,2
spr_talkbt_hollow_es,110,42,0,0,0,109,0,41,0,2
spr_wordsearch_es,280,200,0,0,0,279,0,199,0,2
spr_coresign_es,80,40,0,0,0,79,0,39,0,4
abc_1111_it,355,743,0,0,0,354,0,742,0,1
spr_19_2_it,640,480,0,0,0,639,0,479,0,1
spr_19_4_it,640,480,94,264,0,639,0,479,0,1
spr_actbt_center_it,110,42,55,21,3,106,3,38,2,2
spr_actbt_center_hole_it,112,44,56,22,3,106,3,38,2,2
spr_barkbullet_it,60,40,0,0,6,34,15,22,2,1
spr_barktry_it,100,100,0,0,6,92,12,80,0,1
spr_bluedontmove_it,200,40,0,0,5,14,0,89,2,1
spr_bulletNapstaSad_it,196,83,0,0,11,186,11,70,0,1
spr_cbone_it,44,60,0,0,2,39,10,58,2,1
spr_coresign_it,80,40,0,0,0,79,0,39,0,4
spr_dbone_it,40,60,0,0,3,38,8,57,0,1
spr_defusebox_it,40,30,20,15,1,35,4,29,0,1
spr_dmgmiss_o_it,124,38,0,0,3,120,4,33,0,1
spr_egggraph_it,20,20,0,0,3,13,5,19,0,1
spr_fakeintro2_it,320,240,0,0,0,319,0,239,0,1
spr_fightbt_it,110,42,0,0,3,105,3,38,2,2
spr_fightbt_center_it,110,42,55,21,3,106,3,38,2,2
spr_fightbt_hollow_it,110,42,0,0,0,109,0,41,0,2
spr_fileerased_it,212,87,0,0,0,211,0,86,0,1
spr_fileerased_parts_it,212,87,0,0,0,211,0,86,0,2
spr_floorsign_l1_it,33,21,0,0,0,32,0,20,0,1
spr_floorsign_l2_it,33,21,0,0,0,32,0,20,0,1
spr_floorsign_l3_it,33,21,0,0,0,32,0,20,0,1
spr_floorsign_r1_it,33,21,0,0,0,32,0,20,0,1
spr_floorsign_r2_it,33,21,0,0,0,32,0,20,0,1
